UM, "Ability to use various UQ Methods", GC, M,   
UM1, "Forward Propagation Methods", GC , M, 1.0  
UM1.1, "Ability to use basic Monte Carlo and LHS methods", SP, M, 1.0  
UM1.2, "Ability to use Importance Sampling ", SP, M, 2.0  
UM1.3, "Ability to use Gaussian Process Regression", SP, M, 2.0  
UM1.4, "Ability to use Own External UQ Engine", SP, M,   
UM2, "Ability to use various Reliability Methods", UF, M, 1.0  
UM2.1, "Ability to use First Order Reliability method", UF, M,   
UM2.2, "Ability to use Second Order Reliability method", UF, M,  
UM2.2, "Ability to use Surrogate Based Reliability", UF, M,  
UM2.3, "Ability to use Own External Application to generate Results", UF, M,   
UM3, "Ability to user various Sensitivity Methods", UF, M, 1.0   
UM3.1, "Ability to obtain Global Sensitivity Sobol's indices", UF, M,   
UV1, "Various Random Variable Probability Distributions", SP, M, 1.0  
UV1.1, "Normal", SP, M , 1.0  
UV1.2, "Lognormal", SP, M, 1.0  
UV1.3, "Uniform", SP, M, 1.0   
UV1.4, "Beta", SP, M, 1.0  
UV1.5, "Weibull",  SP, M , 1.0  
UV1.6, "Gumbel",  SP, M, 1.0   
UV2, "User defined Distribution", SP, M,   
UV3, "Define Correlation Matrix", SP, M,   
UV4, "Random Fields", SP, M,
UV5, "Ability to View Graphically the density function when defining the RV", UF, D,

