WE1 , "Ability to determine response of Building Subject to Wind Loading including formal treatment of randomness and uncertainty uncertainty ", GC , M , 1.0   
WE2 , "Ability of Practicing Engineers to use multiple coupled resources (applications, databases, viz tools) in engineering practice ", GC , M , 1.0   
WE3 , "Ability to utilize resources beyond the desktop including HPC ", GC , M , 1.0  
WE4 , "Tool available for download from web ", GC , M , 1.0  
WE5 , "Ability to obtain training and education with respect to interaction of structure and wind to ensure research is appropriately applied  ", GC , M ,  
WE6 , "Ability to obtain Application Outputs ",  , ,  
WE7 , "Ability to see pressure distribution on building ", GC , M ,    
WE8 , "Ability to obtain basic building responses ", SP , M ,    
WE9 , "Ability to Process own Output Parameters ", UF , M , 1.1  
WE10 , "Ability to obtain training to ensure the research is appropriately applied ", GC , M ,   
WE11 , "Documentation exists on tool usage ", SP , M , 1.0   
WE12 , "Video Exists demonstrating usage ", SP , M ,   
WE13 , "Verification Examples Exist ", SP , M ,    
WE14 , "Validation Examples Exist, validated against tests or other software ", GC , M ,
WE15 , "Tool to allow user to load and save user inputs ", SP , M , 1.0  
WE16 , "Installer which installs application and all needed software ", UF , D ,    
