id,1-PFA-0-1,1-PFA-1-1,1-PFD-1-1,1-PID-1-1,1-PFA-2-1,1-PFD-2-1,1-PID-2-1,1-PFA-3-1,1-PFD-3-1,1-PID-3-1,1-PRD-1-1
1,32.3582,77.9396,0.488885,0.0101851,59.7505,0.737361,0.0090446,106.362,1.02601,0.00827109,0.00712507
2,64.2718,165.61,1.57892,0.0328942,164.253,2.65927,0.0236674,209.378,3.22649,0.0161116,0.0224062
3,32.1403,113.728,0.99353,0.0206986,103.32,1.77485,0.0178372,155.464,2.3384,0.0121678,0.0162389
4,36.6994,51.6914,0.672775,0.0140161,71.2641,1.23972,0.0118571,84.2867,1.54721,0.00656701,0.0107445
5,26.4507,40.9722,0.196736,0.00409867,30.1221,0.298753,0.00318579,38.3218,0.389741,0.00298437,0.00270654
6,42.8678,112.918,0.447185,0.00931635,74.2811,0.779573,0.00703803,110.573,0.942736,0.00866189,0.00654678
7,33.2052,64.4638,0.811093,0.0168978,86.2569,1.4643,0.014006,105.251,1.84038,0.00818518,0.0127804
8,41.3726,161.052,0.766977,0.0159787,114.25,1.21038,0.0138997,175.889,1.6188,0.0136244,0.0112417
9,45.0237,90.224,0.641959,0.0133741,84.4805,1.06647,0.010896,101.599,1.30166,0.00792188,0.00903932
10,17.3696,40.5515,0.362302,0.00754795,45.7017,0.619005,0.00600606,53.4614,0.762954,0.00417116,0.00529829
11,64.1771,148.797,0.859087,0.0178977,150.386,1.50731,0.0164816,165.474,1.87408,0.0129206,0.0130145
12,25.671,83.6346,0.545134,0.0113569,69.1484,0.876408,0.00917373,93.3164,1.15996,0.0073228,0.00805526
13,33.8858,123.442,1.06092,0.0221024,110.927,1.86742,0.0195164,176.717,2.51718,0.0137652,0.0174804
14,81.2385,241.821,1.61648,0.0336767,226.138,2.54972,0.0233163,263.57,3.01619,0.0203394,0.0209458
15,40.4357,58.2088,0.597344,0.0124447,58.9159,1.10578,0.0105958,97.5164,1.46813,0.00756771,0.0101954
16,45.0267,139.874,2.11257,0.0440118,206.538,3.74733,0.0341066,241.349,4.64175,0.0188388,0.0322343
17,34.7802,95.5598,0.621563,0.0129492,84.2749,1.14454,0.0114828,100.077,1.41932,0.0078623,0.0098564
18,45.5094,119.958,1.43977,0.0299951,142.979,2.65882,0.0257635,202.316,3.41344,0.0157212,0.0237045
19,89.0336,131.116,2.39989,0.0499977,231.408,4.40087,0.041687,306.816,5.53898,0.0238317,0.0384651
20,138.765,251.976,0.987647,0.020576,197.475,1.39063,0.0190273,228.284,1.74183,0.0177921,0.012096
21,31.3976,63.302,0.676472,0.0140932,72.6821,1.14304,0.0101218,88.6381,1.38868,0.00677449,0.00964362
22,40.1286,68.0923,0.451197,0.00939994,63.2824,0.736481,0.00836211,81.3088,0.974148,0.0063372,0.00676492
23,20.9615,79.9044,0.829224,0.0172755,87.9942,1.41977,0.0137508,115.435,1.77836,0.00904015,0.0123497
24,35.8088,96.5884,0.415103,0.00864798,86.4309,0.571995,0.00692388,93.4849,0.751718,0.0072864,0.00522026
25,63.1296,162.201,1.53556,0.0319908,170.551,2.97858,0.0310584,288.555,3.95747,0.022413,0.0274824
26,16.935,41.9223,0.338341,0.00704878,42.7099,0.61497,0.00622291,58.9308,0.783146,0.00458958,0.00543851
27,37.8431,62.117,0.407033,0.00847986,58.2787,0.652084,0.00750331,75.2578,0.88539,0.00580655,0.00614854
28,29.4701,62.3461,0.597986,0.012458,67.3851,1.12143,0.011417,91.6942,1.45982,0.00714763,0.0101377
29,127.329,314.776,4.41324,0.0919425,427.055,8.58154,0.0870281,694.978,11.167,0.0539041,0.0775488
30,44.0392,98.7178,0.575144,0.0119822,75.3318,1.0125,0.00914834,100.26,1.24939,0.00773773,0.00867635
31,29.8651,85.12,1.38252,0.0288024,135.084,2.45094,0.0231729,176.182,3.10022,0.0137023,0.0215293
32,43.1655,132.952,0.787673,0.0164099,96.0457,1.29922,0.0124681,138.627,1.54749,0.0107618,0.0107465
33,18.1659,36.6402,0.352888,0.00735182,39.4821,0.629501,0.00599216,46.8354,0.767862,0.00360624,0.00533238
34,27.8369,96.4997,0.52992,0.01104,64.5435,0.984256,0.00955269,83.4364,1.2524,0.00650344,0.00869724
35,25.4863,70.7881,0.517706,0.0107855,62.6745,0.976331,0.0101971,104.532,1.35264,0.00810314,0.00939336
36,79.085,111.989,0.508121,0.0105859,73.6516,1.03052,0.0125061,133.576,1.51524,0.0103442,0.0105225
37,55.4904,97.4037,1.08968,0.0227016,111.576,1.99789,0.0197737,166.037,2.59806,0.012892,0.0180421
38,10.1775,25.6604,0.199232,0.00415067,24.9561,0.328527,0.00324115,28.2524,0.403999,0.00219816,0.00280555
39,43.2602,81.3453,1.10084,0.0229342,104.387,1.92957,0.0176573,131.114,2.39779,0.0102705,0.0166513
40,25.9728,55.0723,0.522815,0.010892,55.3089,0.947243,0.00886058,67.1793,1.19397,0.00521148,0.00829146
