, -ERROR--,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-RID-0-1,1-SA_1.00-0-1,1-PWS-0-1
Units,,inchps2,inchps2,inchps2,inchps2,inchps2,inchps2,rad,rad,rad,rad,rad,rad,rad,g,mph
1,0,278.6104899,301.4567202,315.0605991,349.0006572,315.0605991,349.0006572,0.013897509,0.013897509,0.013897509,0.013897509,0.013897509,0.013897509,0,0.73170307,281.0237365
2,0,411.0373055,494.7242744,508.809091,442.5335103,508.809091,442.5335103,0.015908133,0.015908133,0.015908133,0.015908133,0.015908133,0.015908133,0.015908133,0.843761931,455.697752
3,1,228.634536,374.2410229,316.5720501,347.7787619,316.5720501,347.7787619,0.023588019,0.023588019,0.023588019,0.023588019,0.023588019,0.023588019,0,0.604174639,325.5854881
4,0,259.4800157,338.0203911,401.2967469,327.019899,401.2967469,327.019899,0.009253752,0.009253752,0.009253752,0.009253752,0.009253752,0.009253752,0.009253752,0.896498219,400.8102141
5,0,149.665714,217.3043264,274.9437047,211.1534432,274.9437047,211.1534432,0.015031219,0.015031219,0.015031219,0.015031219,0.015031219,0.015031219,0.015031219,0.772705809,327.2322919
6,0,212.3701079,363.2376536,338.5840749,304.4259682,338.5840749,304.4259682,0.024868028,0.024868028,0.024868028,0.024868028,0.024868028,0.024868028,0.024868028,0.748994406,378.5848938
7,0,272.2953487,375.9621125,362.687643,347.630678,362.687643,347.630678,0.019458132,0.019458132,0.019458132,0.019458132,0.019458132,0.019458132,0.019458132,0.827173866,317.901751
8,0,248.7247277,378.8743156,377.5938947,307.6142939,377.5938947,307.6142939,0.018347893,0.018347893,0.018347893,0.018347893,0.018347893,0.018347893,0.018347893,0.735104046,383.524091
9,0,262.0557334,351.4047157,390.0845096,299.4705895,390.0845096,299.4705895,0.034634481,0.034634481,0.034634481,0.034634481,0.034634481,0.034634481,0.034634481,0.73295035,331.9342704
10,1,229.7713393,373.7170252,385.4507202,308.1777986,385.4507202,308.1777986,0.018551108,0.018551108,0.018551108,0.018551108,0.018551108,0.018551108,0.018551108,0.821111692,442.2875555
11,0,159.3251236,235.1684579,209.6548823,285.319527,209.6548823,285.319527,0.033332218,0.033332218,0.033332218,0.033332218,0.033332218,0.033332218,0.033332218,0.473342692,199.8816466
12,0,204.3755563,329.8462248,373.2083563,234.6487446,373.2083563,234.6487446,0.034013184,0.034013184,0.034013184,0.034013184,0.034013184,0.034013184,0.034013184,0.729364154,349.7616262
13,0,242.847235,308.7655278,336.7977656,311.1635398,336.7977656,311.1635398,0.014867659,0.014867659,0.014867659,0.014867659,0.014867659,0.014867659,0.014867659,0.901961427,345.0161541
14,0,315.9035903,415.7206364,472.2398944,321.079208,472.2398944,321.079208,0.016511283,0.016511283,0.016511283,0.016511283,0.016511283,0.016511283,0.016511283,0.862441878,406.3317217
15,0,223.5715811,297.0189603,262.2393236,244.4797562,262.2393236,244.4797562,0.025095424,0.025095424,0.025095424,0.025095424,0.025095424,0.025095424,0.025095424,0.765580656,262.3333951
16,1,170.4288803,301.6085439,315.396437,263.6978669,315.396437,263.6978669,0.014814106,0.014814106,0.014814106,0.014814106,0.014814106,0.014814106,0.014814106,0.598827043,299.188359
17,0,167.308645,181.1511657,237.8316165,247.811182,237.8316165,247.811182,0.021859933,0.021859933,0.021859933,0.021859933,0.021859933,0.021859933,0.021859933,0.625664659,254.628535
18,0,208.2115398,327.6334331,316.889212,288.308409,316.889212,288.308409,0.016218834,0.016218834,0.016218834,0.016218834,0.016218834,0.016218834,0.016218834,0.781499395,377.9414989
19,0,263.8476547,358.4782801,400.8379038,312.5304884,400.8379038,312.5304884,0.020165969,0.020165969,0.020165969,0.020165969,0.020165969,0.020165969,0.020165969,0.840210742,380.219604
20,0,234.9336958,348.939748,314.8598006,376.2367524,314.8598006,376.2367524,0.037484335,0.037484335,0.037484335,0.037484335,0.037484335,0.037484335,0.037484335,0.552415234,269.4950011
